"country","sex","age_group_start","bg_morbidity_weight_base","bg_morbidity_weight_lower","bg_morbidity_weight_upper"
"Afghanistan","Female",10,0.0587128,0.0434002,0.0734832
"Afghanistan","Female",15,0.0710338,0.0538973,0.0892223
"Afghanistan","Female",20,0.0906879,0.069217,0.1113207
"Afghanistan","Female",25,0.1123448,0.0852376,0.1393666
"Afghanistan","Female",30,0.1310579,0.0991397,0.1660053
"Afghanistan","Female",35,0.1595596,0.116759,0.2145963
"Afghanistan","Female",40,0.1721157,0.1252964,0.2348878
"Afghanistan","Female",45,0.1805586,0.1327538,0.2366507
"Afghanistan","Female",50,0.1892845,0.1400681,0.2465775
"Afghanistan","Female",55,0.2001955,0.1502433,0.2581369
"Afghanistan","Female",60,0.2179006,0.1638199,0.2781119
"Afghanistan","Female",65,0.2464894,0.1862705,0.3135445
"Afghanistan","Female",70,0.2800495,0.2130314,0.3499967
"Afghanistan","Female",75,0.3080595,0.2338613,0.3822502
"Afghanistan","Female",80,0.3436942,0.260661,0.4301038
"Afghanistan","Female",85,0.371393,0.2845408,0.4642501
"Afghanistan","Female",90,0.3987829,0.3072174,0.4912638
"Afghanistan","Female",95,0.433269,0.3345204,0.5277718
"Afghanistan","Male",10,0.0526566,0.0388561,0.0678233
"Afghanistan","Male",15,0.059244,0.0448306,0.0746854
"Afghanistan","Male",20,0.0685383,0.0527263,0.0846133
"Afghanistan","Male",25,0.0809913,0.0616147,0.0994794
"Afghanistan","Male",30,0.0931242,0.0709801,0.1163922
"Afghanistan","Male",35,0.1182463,0.0869619,0.1658785
"Afghanistan","Male",40,0.1344791,0.0970931,0.1887589
"Afghanistan","Male",45,0.1481514,0.1065154,0.2093009
"Afghanistan","Male",50,0.1689433,0.1203753,0.2349089
"Afghanistan","Male",55,0.189762,0.1356663,0.2557108
"Afghanistan","Male",60,0.2069987,0.1500923,0.2760502
"Afghanistan","Male",65,0.230972,0.1710834,0.3011213
"Afghanistan","Male",70,0.2604247,0.1954441,0.334643
"Afghanistan","Male",75,0.2851128,0.2145043,0.3605897
"Afghanistan","Male",80,0.3194568,0.2420372,0.3993278
"Afghanistan","Male",85,0.347361,0.2639663,0.4372429
