"country","sex","exp_w_edu_adv","exp_w_edu_basic","exp_w_edu_inter","exp_w_edu_lt_basic"
"Afghanistan","Female",92.6324672077549,70.312067294463,86.9337471356686,55.2491359050804
"Afghanistan","Male",79.5984605162665,67.9152945872521,74.7015884116526,55.2491359050804
"Algeria","Female",1394.40151685982,203.155562094764,471.079188918442,118.413921264322
"Algeria","Male",755.520349447991,150.411209630326,279.701029919298,118.413921264322
"Argentina","Female",620.883726056888,283.393811718871,375.455143704369,124.454285318722
"Argentina","Male",253.389966919916,124.454285318722,163.941892925435,124.454285318722
"Bangladesh","Female",333.047333483238,84.3539953612741,145.507545581587,55.3300650269456
"Bangladesh","Male",167.558957514669,73.3482098973021,97.8280849177727,55.3300650269456
"Brazil","Female",245.455584907903,83.6444638271138,126.603260039409,65.8506036761724
"Brazil","Male",339.100827495496,107.507143545706,174.904434376994,65.8506036761724
"China","Female",833.238541220503,248.625061847026,447.711220537528,98.9358300202633
"China","Male",383.687500615865,99.5309310180364,166.006596258492,98.9358300202633
"Colombia","Female",330.836588182388,111.729681140913,152.313636292784,62.0020354557306
"Colombia","Male",226.756372896719,80.2689908561615,111.943202432259,62.0020354557306
"Democratic Republic of the Congo","Female",164.625856257029,50.160141077056,52.9304695557909,13.3401289742357
"Democratic Republic of the Congo","Male",36.0346538377427,15.4704597695322,17.3200174330351,13.3401289742357
"Egypt","Female",558.861602481526,178.739179061103,301.832012331035,65.209563201276
"Egypt","Male",318.749455434057,120.167056958207,175.587939355662,65.209563201276
"Ethiopia","Female",785.226287281523,136.451978924732,421.913536262995,34.2630056489021
"Ethiopia","Male",717.576389325658,178.788716901823,384.246655328627,34.2630056489021
"France","Female",1699.7130260843,666.429145427213,988.90291261951,624.75070564524
"France","Male",1171.87053565392,631.023252759974,750.088350789157,624.75070564524
"Germany","Female",5877.63081374371,1000.42692434356,3384.03426164774,582.054196304815
"Germany","Male",5478.61963932808,1000.42692434356,3384.03426164774,582.054196304815
"India","Female",211.217158639247,50.2960448614084,71.7206164001812,46.0039311392497
"India","Male",155.645195007688,52.8153932765462,75.8156942685316,46.0039311392497
"Indonesia","Female",435.551977459565,135.817610702805,268.079881052685,66.2845923676911
"Indonesia","Male",304.653899455131,114.888329492008,189.519184625903,66.2845923676911
"Iran (Islamic Republic of)","Female",664.604449767181,217.520008939039,369.695706955659,114.284676463924
"Iran (Islamic Republic of)","Male",499.95294566774,191.748015334596,294.340403182684,114.284676463924
"Iraq","Female",889.513883872911,545.217076937914,760.360195913693,71.1814455356039
"Iraq","Male",127.044779372067,102.699041533212,109.017102034914,71.1814455356039
"Italy","Female",1061.10621319665,413.684380662752,760.047406064716,300.526726106186
"Italy","Male",818.75057916996,413.684380662752,597.368856469914,300.526726106186
"Japan","Female",2548.4615526399,1027.57686238982,2255.50308193571,468.150195216185
"Japan","Male",3000.96237418684,1027.57686238982,2255.50308193571,468.150195216185
"Kenya","Female",438.132740431882,61.5132788068928,180.034590205367,35.4899634187704
"Kenya","Male",492.515065885659,101.29222723465,228.249082599237,35.4899634187704
"Mexico","Female",531.065777679664,168.99497908888,239.722607712879,98.0367908776129
"Mexico","Male",397.541052570445,148.784537333422,190.442604644761,98.0367908776129
"Morocco","Female",691.172538820889,229.776886391745,362.606018586353,90.50014677328
"Morocco","Male",345.696292357749,141.235380184941,196.966980474083,90.50014677328
"Mozambique","Female",223.502757142992,59.6960893371045,116.460066459811,14.4209297332011
"Mozambique","Male",178.414447307089,50.1843840056687,93.2826192479564,14.4209297332011
"Nigeria","Female",491.026457789998,183.104690818842,293.807606300974,36.9011931465036
"Nigeria","Male",168.527313268776,74.8092917898979,106.72049888295,36.9011931465036
"Pakistan","Female",443.27875608346,111.51068145751,215.923701629841,64.416258623292
"Pakistan","Male",208.41706034049,79.1287110916987,115.106887072471,64.416258623292
"Philippines","Female",371.425748631429,92.862976246839,132.47529706138,74.6741108795271
"Philippines","Male",338.294178063052,112.065704694244,162.600731171985,74.6741108795271
"Russian Federation","Female",364.590773081045,241.296313590027,288.790041032547,217.751544396871
"Russian Federation","Male",378.544833513199,241.296313590027,288.790041032547,217.751544396871
"South Africa","Female",820.525430001917,119.172386029508,216.668219746284,32.4930311035929
"South Africa","Male",278.23096752391,39.9623297627463,72.0134158374148,32.4930311035929
"Sudan","Female",433.904559661009,151.437683534678,234.344756949773,55.2491359050804
"Sudan","Male",253.519930726649,101.812153544184,139.655273014551,55.2491359050804
"Thailand","Female",512.782633023032,180.074627787074,253.99682412629,165.662723075342
"Thailand","Male",470.578158890638,194.378155804046,254.587786159066,165.662723075342
"Turkey","Female",973.957740028258,214.472335646323,519.752594943138,145.95601770713
"Turkey","Male",558.114302461521,205.273801187444,324.714143392951,145.95601770713
"Uganda","Female",134.853267476454,53.9207509966223,93.4585970234618,28.3845526043362
"Uganda","Male",134.853267476454,53.9207509966223,93.4585970234618,28.3845526043362
"United Kingdom","Female",3169.64611194824,920.194905493423,2021.57766273111,468.704696629561
"United Kingdom","Male",3169.64611194824,920.194905493423,2021.57766273111,468.704696629561
"United Republic of Tanzania","Female",227.092490273017,41.7341362131367,114.393117809051,30.0581640673194
"United Republic of Tanzania","Male",323.223124637401,78.028772346032,159.032218410792,30.0581640673194
"United States of America","Female",2269.57765797831,945.09576553382,1266.51871536502,446.782710103102
"United States of America","Male",2366.29788338714,945.09576553382,1348.24283423511,446.782710103102
"Viet Nam","Female",614.860836683597,184.213703388936,342.025112496192,107.744702384876
"Viet Nam","Male",464.40805341639,165.83708468314,273.413837978885,107.744702384876
"Yemen","Female",148.345416325834,75.7476485197084,120.201998459312,55.2491359050804
"Yemen","Male",116.252991471501,75.7476485197084,94.1980025257735,55.2491359050804
