"measure","location","sex","age","cause","metric","year","val","upper","lower","age_group_start","inc_base","inc_base_monthly"
"Incidence","Philippines","Male","10 to 14","Self-harm","Rate",2019,14.9887162586138,26.3480822375857,7.64790337600623,10,0.000149887162586138,1.24914550468924e-05
"Incidence","Philippines","Female","10 to 14","Self-harm","Rate",2019,21.6959371312007,39.2404505151378,10.8324225870332,10,0.000216959371312007,1.80817457233751e-05
"Incidence","Philippines","Male","15 to 19","Self-harm","Rate",2019,45.8407418993634,68.1437003408498,28.0548425092362,15,0.000458407418993634,3.8208646680693e-05
"Incidence","Philippines","Female","15 to 19","Self-harm","Rate",2019,50.8369382055848,73.1441419886945,31.9130998219459,15,0.000508369382055848,4.23739893289365e-05
"Incidence","Philippines","Male","20 to 24","Self-harm","Rate",2019,61.3585916739653,93.5040268837637,39.9031184909099,20,0.000613585916739653,5.11465451055182e-05
"Incidence","Philippines","Female","20 to 24","Self-harm","Rate",2019,54.2478715795713,83.2490503179699,34.05308904876,20,0.000542478715795713,4.52178035285078e-05
"Incidence","Philippines","Male","25 to 29","Self-harm","Rate",2019,54.0060739057263,84.2301364884572,32.4516956314744,25,0.000540060739057263,4.50162054389525e-05
"Incidence","Philippines","Female","25 to 29","Self-harm","Rate",2019,38.5182671299531,60.6791399527753,23.1450279551382,25,0.000385182671299531,3.21042240816194e-05
"Incidence","Philippines","Male","30 to 34","Self-harm","Rate",2019,42.6637218204878,67.3129459475061,25.6729201889171,30,0.000426637218204878,3.55600555392854e-05
"Incidence","Philippines","Female","30 to 34","Self-harm","Rate",2019,29.3911313858991,46.9815587833212,17.6335005816148,30,0.000293911313858991,2.44959094914954e-05
"Incidence","Philippines","Male","35 to 39","Self-harm","Rate",2019,35.2467740058692,56.682481093306,20.7514653239968,35,0.000352467740058692,2.93770577701746e-05
"Incidence","Philippines","Female","35 to 39","Self-harm","Rate",2019,24.475442108717,41.3973761166536,14.2227247881468,35,0.00024475442108717,2.03984901429033e-05
"Incidence","Philippines","Male","40 to 44","Self-harm","Rate",2019,33.6959778059398,52.873031375298,19.855829165167,40,0.000336959778059398,2.80843191082791e-05
"Incidence","Philippines","Female","40 to 44","Self-harm","Rate",2019,21.0403413024977,33.5849135457605,12.4659293047814,40,0.000210403413024977,1.7535308832084e-05
"Incidence","Philippines","Male","45 to 49","Self-harm","Rate",2019,29.0890750449583,44.8184103007225,17.0680998091754,45,0.000290890750449583,2.42441283871964e-05
"Incidence","Philippines","Female","45 to 49","Self-harm","Rate",2019,17.5229561480041,27.7941502346822,10.1090191068582,45,0.000175229561480041,1.46036363636304e-05
"Incidence","Philippines","Male","50 to 54","Self-harm","Rate",2019,16.9577613577152,27.2342622109517,10.1594112714611,50,0.000169577613577152,1.41325662582625e-05
"Incidence","Philippines","Female","50 to 54","Self-harm","Rate",2019,12.4831892110967,19.8525750995624,7.41620057604498,50,0.000124831892110967,1.04032529074649e-05
"Incidence","Philippines","Male","55 to 59","Self-harm","Rate",2019,13.1858480399462,19.8578721968757,8.01889871471669,55,0.000131858480399462,1.09888708297312e-05
"Incidence","Philippines","Female","55 to 59","Self-harm","Rate",2019,10.6916408299093,16.2778607641747,6.52615350134113,55,0.000106916408299093,8.91013732662316e-06
"Incidence","Philippines","Male","60 to 64","Self-harm","Rate",2019,10.6057143081404,16.7408886492701,5.96419120909404,60,0.000106057143081404,8.83852490152215e-06
"Incidence","Philippines","Female","60 to 64","Self-harm","Rate",2019,9.70345599856271,14.8638392614462,5.61253996503841,60,9.70345599856271e-05,8.08657298212445e-06
"Incidence","Philippines","Male","65 to 69","Self-harm","Rate",2019,9.50178886781685,14.2666314864124,5.65438283368183,65,9.50178886781685e-05,7.91850224546309e-06
"Incidence","Philippines","Female","65 to 69","Self-harm","Rate",2019,9.28695516644984,13.7810942822827,5.58056679798112,65,9.28695516644984e-05,7.73945874255055e-06
