"country","Pr_access_internet"
"Afghanistan",0.1144768809
"Argentina",0.7429490687
"Bangladesh",0.129
"Brazil",0.7043428254
"China",0.543
"Democratic Republic of the Congo",0.08619904916
"Colombia",0.6500690072
"Germany",0.8813451691
"Algeria",0.4903846808
"Egypt",0.5728286878
"Ethiopia",0.1861805145
"France",0.8333974409
"United Kingdom",0.9251662855
"Indonesia",0.4769064898
"India",0.2008130004
"Iran (Islamic Republic of)",0.7000455222
"Iraq",0.7500000131
"Italy",0.7438718292
"Japan",0.9128160849
"Kenya",0.2256511937
"Morocco",0.7437631447
"Mexico",0.7006991047
"Mozambique",0.207740003
"Nigeria",0.07469439317
"Pakistan",0.1707090203
"Philippines",0.4302661187
"Russian Federation",0.8264216187
"Sudan",0.3087029573
"Thailand",0.6665241317
"Turkey",0.7397670403
"United Republic of Tanzania",0.1599999943
"Uganda",0.2370653091
"United States of America",0.8849890317
"Viet Nam",0.687
"Yemen",0.2671835477
"South Africa",0.5616739447
