"item","country","traded","Currency","Currency.Year","Annual.salary","Unit.cost..non.traded.","Exchange.rate.year","Exchange.rate.to.LCU.in.study.year","Unit.cost..non.traded..in.LCU","CPI.year","CPI.in.listed.year","Model.year","CPI.in.2019","CPI.ratio..2019.listed.year.","Cost..non.traded..in.LCU..2019","Model.Year","Exchange.rate...LCU.to.USD.2019","Cost..non.traded..in.2019.USD","Model.year.1","PPP...Country.to.Int..","Cost..non.traded...PPP.equalized","Facility.indirect.cost.adjustment..50..","Above.facility.health.system.cost.adjustment..17..","unit_cost_non_traded","Cost..traded.","Exchange.rate.year.1","Exchange.rate.to.LCU.in.study.year.1","Cost..traded..in.LCU","Study.year.to.2019.inflation.rate","Costs..traded..in.LCU..2019","Exchange.rate...LCU.to.USD.2019.1","Cost..traded..in.2019.USD","Price.multiplier..WHO.CHOICE.","Cost..traded...adjusted.for.transportation.cost","unit_cost_traded","unit_cost_all","item_label"
"Fluoxetine, per 20mg","Afghanistan","Traded","USD",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0119284825642688,2019,1,0.0119284825642688,"1",0.0119284825642688,1,0.0119284825642688,1.37,0.0163420211130483,0.0163420211130483,0.0163420211130483,"fluoxetine_20mg"
"Lithium carbonate, per 300mg","Afghanistan","Traded","USD",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0521147296497181,2019,1,0.0521147296497181,"1",0.0521147296497181,1,0.0521147296497181,1.37,0.0713971796201138,0.0713971796201138,0.0713971796201138,"lithium_carbonate_300mg"
"Haloperidol, per 1.5mg","Afghanistan","Traded","USD",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013434019198594,2019,1,0.013434019198594,"1",0.013434019198594,1,0.013434019198594,1.37,0.0184046063020738,0.0184046063020738,0.0184046063020738,"haloperidol_1.5mg"
"Fluoxetine, per 20mg","Algeria","Traded","USD",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0119284825642688,2019,1,0.0119284825642688,"1",0.0119284825642688,1,0.0119284825642688,1.44,0.0171770148925471,0.0171770148925471,0.0171770148925471,"fluoxetine_20mg"
"Lithium carbonate, per 300mg","Algeria","Traded","USD",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0521147296497181,2019,1,0.0521147296497181,"1",0.0521147296497181,1,0.0521147296497181,1.44,0.0750452106955941,0.0750452106955941,0.0750452106955941,"lithium_carbonate_300mg"
"Haloperidol, per 1.5mg","Algeria","Traded","USD",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013434019198594,2019,1,0.013434019198594,"1",0.013434019198594,1,0.013434019198594,1.44,0.0193449876459754,0.0193449876459754,0.0193449876459754,"haloperidol_1.5mg"
"Fluoxetine, per 20mg","Argentina","Traded","USD",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0119284825642688,2019,1,0.0119284825642688,"1",0.0119284825642688,1,0.0119284825642688,1.27,0.0151491728566214,0.0151491728566214,0.0151491728566214,"fluoxetine_20mg"
"Lithium carbonate, per 300mg","Argentina","Traded","USD",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0521147296497181,2019,1,0.0521147296497181,"1",0.0521147296497181,1,0.0521147296497181,1.27,0.066185706655142,0.066185706655142,0.066185706655142,"lithium_carbonate_300mg"
"Haloperidol, per 1.5mg","Argentina","Traded","USD",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013434019198594,2019,1,0.013434019198594,"1",0.013434019198594,1,0.013434019198594,1.27,0.0170612043822144,0.0170612043822144,0.0170612043822144,"haloperidol_1.5mg"
"Fluoxetine, per 20mg","Bangladesh","Traded","USD",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0119284825642688,2019,1,0.0119284825642688,"1",0.0119284825642688,1,0.0119284825642688,1.25,0.014910603205336,0.014910603205336,0.014910603205336,"fluoxetine_20mg"
"Lithium carbonate, per 300mg","Bangladesh","Traded","USD",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0521147296497181,2019,1,0.0521147296497181,"1",0.0521147296497181,1,0.0521147296497181,1.25,0.0651434120621476,0.0651434120621476,0.0651434120621476,"lithium_carbonate_300mg"
"Haloperidol, per 1.5mg","Bangladesh","Traded","USD",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013434019198594,2019,1,0.013434019198594,"1",0.013434019198594,1,0.013434019198594,1.25,0.0167925239982425,0.0167925239982425,0.0167925239982425,"haloperidol_1.5mg"
"Fluoxetine, per 20mg","Brazil","Traded","USD",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0119284825642688,2019,1,0.0119284825642688,"1",0.0119284825642688,1,0.0119284825642688,1.27,0.0151491728566214,0.0151491728566214,0.0151491728566214,"fluoxetine_20mg"
"Lithium carbonate, per 300mg","Brazil","Traded","USD",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0521147296497181,2019,1,0.0521147296497181,"1",0.0521147296497181,1,0.0521147296497181,1.27,0.066185706655142,0.066185706655142,0.066185706655142,"lithium_carbonate_300mg"
"Haloperidol, per 1.5mg","Brazil","Traded","USD",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013434019198594,2019,1,0.013434019198594,"1",0.013434019198594,1,0.013434019198594,1.27,0.0170612043822144,0.0170612043822144,0.0170612043822144,"haloperidol_1.5mg"
"Fluoxetine, per 20mg","China","Traded","USD",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0119284825642688,2019,1,0.0119284825642688,"1",0.0119284825642688,1,0.0119284825642688,1.3,0.0155070273335495,0.0155070273335495,0.0155070273335495,"fluoxetine_20mg"
"Lithium carbonate, per 300mg","China","Traded","USD",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0521147296497181,2019,1,0.0521147296497181,"1",0.0521147296497181,1,0.0521147296497181,1.3,0.0677491485446335,0.0677491485446335,0.0677491485446335,"lithium_carbonate_300mg"
"Haloperidol, per 1.5mg","China","Traded","USD",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013434019198594,2019,1,0.013434019198594,"1",0.013434019198594,1,0.013434019198594,1.3,0.0174642249581722,0.0174642249581722,0.0174642249581722,"haloperidol_1.5mg"
"Fluoxetine, per 20mg","Colombia","Traded","USD",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0119284825642688,2019,1,0.0119284825642688,"1",0.0119284825642688,1,0.0119284825642688,1.27,0.0151491728566214,0.0151491728566214,0.0151491728566214,"fluoxetine_20mg"
