"Location","Sex","AgeGrp","AgeGrpStart","qx","monthly_pr_die","perc_death_suicide_base","perc_death_suicide_upper","perc_death_suicide_lower","Pr_death_suicide_base","Pr_death_not_suicide_base"
"Afghanistan","Female","10-14",10,0.00494206,8.25684637556501e-05,0.00211889604134075,0.00349381518054634,0.00113309644542891,1.74953990991434e-07,8.23935097646586e-05
"Afghanistan","Female","15-19",15,0.00769394,0.000128719899157859,0.0229501322354312,0.0377263543869722,0.0124028766084118,2.95413870700422e-06,0.000125765760450854
"Afghanistan","Female","20-24",20,0.01041874,0.00017454134967565,0.035418093862571,0.0556043063067095,0.0206238693372209,6.18192190571199e-06,0.000168359427769938
"Afghanistan","Female","25-29",25,0.01212731,0.000203336754483585,0.0326105882758308,0.0510584158804935,0.0194304536833533,6.63093118180788e-06,0.000196705823301777
"Afghanistan","Female","30-34",30,0.0142065,0.0002384445402831,0.0251405423633879,0.0389288268983689,0.0155151294970244,5.99462506630585e-06,0.000232449915216795
"Afghanistan","Female","35-39",35,0.01719685,0.000289065432735436,0.0191051477942323,0.0288851567219055,0.0122076124160102,5.52263781461423e-06,0.000283542794920822
"Afghanistan","Female","40-44",40,0.02176257,0.000366647225976457,0.0161166286532923,0.0246308109939085,0.010049754151,5.90911718782231e-06,0.000360738108788635
"Afghanistan","Female","45-49",45,0.02936834,0.000496680339203692,0.0117682642130983,0.0179727871153077,0.00734909912549822,5.84506546120035e-06,0.000490835273742492
"Afghanistan","Female","50-54",50,0.04172528,0.000710094064268252,0.00824920665377797,0.0123449575762438,0.00522896005810462,5.8577126797699e-06,0.000704236351588482
"Afghanistan","Female","55-59",55,0.06007141,0.00103199004311594,0.00558633000316051,0.00833614428551815,0.00358051398933738,5.76503694082147e-06,0.00102622500617512
"Afghanistan","Female","60-64",60,0.09199873,0.00160719876560522,0.00391527392322137,0.00594679714422062,0.0024895971119145,6.2926234164077e-06,0.00160090614218881
"Afghanistan","Female","65-69",65,0.14332161,0.00257489101704445,0.00295412701422858,0.00448228435412173,0.0018871649561828,7.60655511214551e-06,0.0025672844619323
"Afghanistan","Female","70-74",70,0.2268501,0.00427885831170438,0.00173217051750864,0.00249679186317913,0.00107797907997235,7.41171221613113e-06,0.00427144659948825
"Afghanistan","Female","75-79",75,0.34703829,0.0070787730923787,0.000647999375209772,0.00096779119283263,0.000405384066449604,4.58704054111314e-06,0.00707418605183759
"Afghanistan","Female","80-84",80,0.50548152,0.0116675789708924,0.000629301962086435,0.00102107837479763,0.000364752628864143,7.34243033918104e-06,0.0116602365405533
"Afghanistan","Female","85-89",85,0.6690821,0.0182625964128355,0.000619530860635881,0.000962403077275794,0.000368235584647713,1.13142420730897e-05,0.0182512821707624
"Afghanistan","Male","10-14",10,0.00544963,9.10714094738418e-05,0.010559735342937,0.0194334921630188,0.00289498140223789,9.61689981352014e-07,9.01097194924898e-05
"Afghanistan","Male","15-19",15,0.00904649,0.000151449496407774,0.0239681879188697,0.0386610957991403,0.0134771236753019,3.62996999011971e-06,0.000147819526417654
"Afghanistan","Male","20-24",20,0.01287639,0.000215976828563669,0.0322047614008733,0.0499932866640252,0.0194315694432994,6.95548223201028e-06,0.000209021346331658
"Afghanistan","Male","25-29",25,0.01328177,0.000222821197710665,0.030593842378608,0.0462808058519665,0.0198740963896117,6.81695660137275e-06,0.000216004241109293
"Afghanistan","Male","30-34",30,0.01490576,0.000250268132033549,0.0313088802349391,0.0466080615056657,0.0199162521200569,7.83561497246031e-06,0.000242432517061088
"Afghanistan","Male","35-39",35,0.01882146,0.000316630495566406,0.0261805845198246,0.0390243308439207,0.0169678594848369,8.28957145073024e-06,0.000308340924115675
"Afghanistan","Male","40-44",40,0.02570461,0.000433918266297018,0.0169293861793413,0.0277465492553316,0.0109744113349618,7.34596990041245e-06,0.000426572296396605
"Afghanistan","Male","45-49",45,0.0370395,0.000628850285367077,0.00952272714756344,0.015927697817335,0.00596866005570556,5.98836968421808e-06,0.000622861915682859
"Afghanistan","Male","50-54",50,0.05498513,0.000942132849940269,0.00567007860806893,0.00941711430642475,0.00363283974019475,5.34196731840534e-06,0.000936790882621864
