measure,country,sex,age,cause,metric,year,val,upper,lower
YLLs (Years of Life Lost),Afghanistan,Males,10 to 14,Self-harm,Rate,2019,60.97,117.27,16.8
YLLs (Years of Life Lost),Afghanistan,Females,10 to 14,Self-harm,Rate,2019,11.15,19.22,5.86
YLLs (Years of Life Lost),Afghanistan,Males,15 to 19,Self-harm,Rate,2019,249.4,425.31,138.24
YLLs (Years of Life Lost),Afghanistan,Females,15 to 19,Self-harm,Rate,2019,193.54,327.28,100.7
YLLs (Years of Life Lost),Afghanistan,Males,20 to 24,Self-harm,Rate,2019,476.44,823.57,260.23
YLLs (Years of Life Lost),Afghanistan,Females,20 to 24,Self-harm,Rate,2019,422.43,712.26,230.47
YLLs (Years of Life Lost),Afghanistan,Males,25 to 29,Self-harm,Rate,2019,481.52,837.87,279.69
YLLs (Years of Life Lost),Afghanistan,Females,25 to 29,Self-harm,Rate,2019,486.34,842.49,259.58
YLLs (Years of Life Lost),Afghanistan,Males,30 to 34,Self-harm,Rate,2019,544.69,932.44,311.69
YLLs (Years of Life Lost),Afghanistan,Females,30 to 34,Self-harm,Rate,2019,448.38,756.97,264.64
YLLs (Years of Life Lost),Afghanistan,Males,35 to 39,Self-harm,Rate,2019,553.1,957.75,323.1
YLLs (Years of Life Lost),Afghanistan,Females,35 to 39,Self-harm,Rate,2019,460.94,726.87,270.95
YLLs (Years of Life Lost),Afghanistan,Males,40 to 44,Self-harm,Rate,2019,482.21,803.26,271.84
YLLs (Years of Life Lost),Afghanistan,Females,40 to 44,Self-harm,Rate,2019,519.53,851.06,299.53
YLLs (Years of Life Lost),Afghanistan,Males,45 to 49,Self-harm,Rate,2019,352.68,639.91,195.11
YLLs (Years of Life Lost),Afghanistan,Females,45 to 49,Self-harm,Rate,2019,498.37,826.03,276.15
YLLs (Years of Life Lost),Afghanistan,Males,50 to 54,Self-harm,Rate,2019,282.8,491.12,160.16
YLLs (Years of Life Lost),Afghanistan,Females,50 to 54,Self-harm,Rate,2019,455.32,743.59,258.64
YLLs (Years of Life Lost),Afghanistan,Males,55 to 59,Self-harm,Rate,2019,221.69,361.77,133.07
