measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Egypt,Male,10 to 14,Self-harm,Number,2019,22.754272463132356,42.72127273488967,10.622022257974953
Deaths,Egypt,Female,10 to 14,Self-harm,Number,2019,22.895150447608003,43.55409777186444,11.480092051201897
Deaths,Egypt,Male,10 to 14,Self-harm,Percent,2019,0.008776441112604618,0.016126823508541298,0.004348209621668689
Deaths,Egypt,Female,10 to 14,Self-harm,Percent,2019,0.014387451459129197,0.02634837089791655,0.007405260142231018
Deaths,Egypt,Male,10 to 14,Self-harm,Rate,2019,0.4195646742828117,0.7877350026902898,0.19585883557089742
Deaths,Egypt,Female,10 to 14,Self-harm,Rate,2019,0.4607256190954565,0.8764514872267545,0.23101715490650668
Deaths,Egypt,Male,15 to 19,Self-harm,Number,2019,147.58468009746363,283.95746947150855,72.48647648328354
Deaths,Egypt,Female,15 to 19,Self-harm,Number,2019,90.86134425996251,158.7837025527657,45.72793354409473
Deaths,Egypt,Male,15 to 19,Self-harm,Percent,2019,0.03471698104726486,0.06300901429856959,0.018768369892924307
Deaths,Egypt,Female,15 to 19,Self-harm,Percent,2019,0.05001922269174142,0.0863023976653902,0.026350018854050413
Deaths,Egypt,Male,15 to 19,Self-harm,Rate,2019,3.0651661796463743,5.897474123379512,1.505461786762454
Deaths,Egypt,Female,15 to 19,Self-harm,Rate,2019,2.046331136678511,3.57604256438455,1.0298603326792275
Deaths,Egypt,Male,20 to 24,Self-harm,Number,2019,222.69818840633894,424.08882376398014,106.80407207182273
Deaths,Egypt,Female,20 to 24,Self-harm,Number,2019,129.13918511376792,230.26228360029336,60.50918594287513
Deaths,Egypt,Male,20 to 24,Self-harm,Percent,2019,0.04344854162588157,0.08064985004218166,0.02251285656892933
Deaths,Egypt,Female,20 to 24,Self-harm,Percent,2019,0.05832620417711677,0.10073540704648157,0.029550041295965012
Deaths,Egypt,Male,20 to 24,Self-harm,Rate,2019,5.010165863577423,9.540963773221748,2.4028310235238393
Deaths,Egypt,Female,20 to 24,Self-harm,Rate,2019,2.9963645788780706,5.342683166412037,1.4039703076665002
Deaths,Egypt,Male,25 to 29,Self-harm,Number,2019,223.82215468335045,431.45648151027194,112.64589482238144
Deaths,Egypt,Female,25 to 29,Self-harm,Number,2019,138.79956217195567,244.71737071998442,64.60527187215668
Deaths,Egypt,Male,25 to 29,Self-harm,Percent,2019,0.042307361296738136,0.08059933873136257,0.021922569509480683
Deaths,Egypt,Female,25 to 29,Self-harm,Percent,2019,0.0518265077408589,0.08565924939260333,0.025554808602824535
