ref_area.label,indicator.label,source.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Afghanistan,"Labour force by sex, age and education (thousands)",AFG - HIES - Living Conditions Survey,Sex: Male,Age (10-year bands): 15-24,Education (Aggregate levels): Less than basic,2017,647.71,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Labour force by sex, age and education (thousands)",AFG - HIES - Living Conditions Survey,Sex: Male,Age (10-year bands): 15-24,Education (Aggregate levels): Basic,2017,552.175,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Labour force by sex, age and education (thousands)",AFG - HIES - Living Conditions Survey,Sex: Male,Age (10-year bands): 15-24,Education (Aggregate levels): Intermediate,2017,356.497,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Labour force by sex, age and education (thousands)",AFG - HIES - Living Conditions Survey,Sex: Male,Age (10-year bands): 15-24,Education (Aggregate levels): Advanced,2017,108.81,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Labour force by sex, age and education (thousands)",AFG - HIES - Living Conditions Survey,Sex: Male,Age (10-year bands): 25-34,Education (Aggregate levels): Less than basic,2017,849.603,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Labour force by sex, age and education (thousands)",AFG - HIES - Living Conditions Survey,Sex: Male,Age (10-year bands): 25-34,Education (Aggregate levels): Basic,2017,344.05,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Labour force by sex, age and education (thousands)",AFG - HIES - Living Conditions Survey,Sex: Male,Age (10-year bands): 25-34,Education (Aggregate levels): Intermediate,2017,221.224,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Labour force by sex, age and education (thousands)",AFG - HIES - Living Conditions Survey,Sex: Male,Age (10-year bands): 25-34,Education (Aggregate levels): Advanced,2017,179.702,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Labour force by sex, age and education (thousands)",AFG - HIES - Living Conditions Survey,Sex: Male,Age (10-year bands): 35-44,Education (Aggregate levels): Less than basic,2017,700.816,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Labour force by sex, age and education (thousands)",AFG - HIES - Living Conditions Survey,Sex: Male,Age (10-year bands): 35-44,Education (Aggregate levels): Basic,2017,225.444,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Labour force by sex, age and education (thousands)",AFG - HIES - Living Conditions Survey,Sex: Male,Age (10-year bands): 35-44,Education (Aggregate levels): Intermediate,2017,100.339,,,,Repository: ILO-STATISTICS - Micro data processing
