ref_area.label,indicator.label,source.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Afghanistan,"Employment-to-population ratio by sex, age and education (%)",AFG - HIES - Living Conditions Survey,Sex: Male,Age (10-year bands): 15-24,Education (Aggregate levels): Total,2017,49.04,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Employment-to-population ratio by sex, age and education (%)",AFG - HIES - Living Conditions Survey,Sex: Male,Age (10-year bands): 15-24,Education (Aggregate levels): Less than basic,2017,73.8,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Employment-to-population ratio by sex, age and education (%)",AFG - HIES - Living Conditions Survey,Sex: Male,Age (10-year bands): 15-24,Education (Aggregate levels): Basic,2017,43.44,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Employment-to-population ratio by sex, age and education (%)",AFG - HIES - Living Conditions Survey,Sex: Male,Age (10-year bands): 15-24,Education (Aggregate levels): Intermediate,2017,38,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Employment-to-population ratio by sex, age and education (%)",AFG - HIES - Living Conditions Survey,Sex: Male,Age (10-year bands): 15-24,Education (Aggregate levels): Advanced,2017,30.64,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Employment-to-population ratio by sex, age and education (%)",AFG - HIES - Living Conditions Survey,Sex: Male,Age (10-year bands): 25-34,Education (Aggregate levels): Total,2017,82.47,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Employment-to-population ratio by sex, age and education (%)",AFG - HIES - Living Conditions Survey,Sex: Male,Age (10-year bands): 25-34,Education (Aggregate levels): Less than basic,2017,83.39,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Employment-to-population ratio by sex, age and education (%)",AFG - HIES - Living Conditions Survey,Sex: Male,Age (10-year bands): 25-34,Education (Aggregate levels): Basic,2017,85.85,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Employment-to-population ratio by sex, age and education (%)",AFG - HIES - Living Conditions Survey,Sex: Male,Age (10-year bands): 25-34,Education (Aggregate levels): Intermediate,2017,83.41,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Employment-to-population ratio by sex, age and education (%)",AFG - HIES - Living Conditions Survey,Sex: Male,Age (10-year bands): 25-34,Education (Aggregate levels): Advanced,2017,73.68,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Employment-to-population ratio by sex, age and education (%)",AFG - HIES - Living Conditions Survey,Sex: Male,Age (10-year bands): 35-44,Education (Aggregate levels): Total,2017,87.56,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Employment-to-population ratio by sex, age and education (%)",AFG - HIES - Living Conditions Survey,Sex: Male,Age (10-year bands): 35-44,Education (Aggregate levels): Less than basic,2017,85.86,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Employment-to-population ratio by sex, age and education (%)",AFG - HIES - Living Conditions Survey,Sex: Male,Age (10-year bands): 35-44,Education (Aggregate levels): Basic,2017,88.21,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Employment-to-population ratio by sex, age and education (%)",AFG - HIES - Living Conditions Survey,Sex: Male,Age (10-year bands): 35-44,Education (Aggregate levels): Intermediate,2017,92.19,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Employment-to-population ratio by sex, age and education (%)",AFG - HIES - Living Conditions Survey,Sex: Male,Age (10-year bands): 35-44,Education (Aggregate levels): Advanced,2017,96.1,,,,Repository: ILO-STATISTICS - Micro data processing
